sku,repricer_name
"FLEA 112909782498","DS"
"FLEA 112928535739","DS"
"FLEA 112945224695","DS"
"FLEA 112945224873","DS"
"FLEA 112949937101","DS"
"FLEA 112958915789","DS"
"FLEA 112962467395","DS"
"FLEA 112962467707","DS"
"FLEA 112972286229","DS"
"FLEA 112972500631","DS"
"FLEA 112997445121","DS"
"FLEA 113001247109","DS"
"FLEA 113001247156","DS"
"FLEA 113007595434","DS"
"FLEA 113023069355","DS"
"FLEA 113023322024","DS"
"FLEA 113023322062","DS"
"FLEA 113025663690","DS"
"FLEA 113026128918","DS"
"FLEA 113039453147","DS"
"FLEA 113039453331","DS"
"FLEA 113053886882","DS"
"FLEA 113053886892","DS"
"FLEA 113078540346","DS"
"FLEA 113079053866","DS"
"FLEA 113104138730","DS"
"FLEA 113104138807","DS"
"FLEA 113122708491","DS"
"FLEA 113124094871","DS"
"FLEA 113130699005","DS"
"FLEA 113130699130","DS"
"FLEA 113130699218","DS"
"FLEA 113133563903","DS"
"FLEA 113134220592","DS"
"FLEA 113140445508","DS"
"FLEA 113144902856","DS"
"FLEA 113145077830","DS"
"FLEA 113146401138","DS"
"FLEA 113152547655","DS"
"FLEA 113153844416","DS"
"FLEA 113154006088","DS"
"FLEA 113157321406","DS"
"FLEA 113158950431","DS"
"FLEA 113169668851","DS"
"FLEA 113175652999","DS"
"FLEA 113175653001","DS"
"FLEA 113177739423","DS"
"FLEA 113180473444","DS"
"FLEA 113181813109","DS"
"FLEA 113186316371","DS"
"FLEA 113187836080","DS"
"FLEA 113187836113","DS"
"FLEA 113189568918","DS"
"FLEA 113191877121","DS"
"FLEA 113191953522","DS"
"FLEA 113215584151","DS"
"FLEA 113221075252","DS"
"FLEA 113222289861","DS"
"FLEA 113227996161","DS"
"FLEA 113227996195","DS"
"FLEA 113245548667","DS"
"FLEA 113249149212","DS"
"FLEA 113257232306","DS"
"FLEA 113269344186","DS"
"FLEA 113283205865","DS"
"FLEA 113283207420","DS"
"FLEA 113286568061","DS"
"FLEA 113296331505","DS"
"FLEA 113298236272","DS"
"FLEA 113298427099","DS"
"FLEA 113310871860","DS"
"FLEA 113312963577","DS"
"FLEA 113315050202","DS"
"FLEA 113315050208","DS"
"FLEA 113315050238","DS"
"FLEA 113337792149","DS"
"FLEA 113375653696","DS"
"FLEA 113375653728","DS"
"FLEA 113375653735","DS"
"FLEA 113375653776","DS"
"FLEA 113375653789","DS"
"FLEA 113375653970","DS"
"FLEA 113375654047","DS"
"FLEA 113375661226","DS"
"FLEA 113375661278","DS"
"FLEA 113375661524","DS"
"FLEA 113386018002","DS"
"FLEA 113386018054","DS"
"FLEA 113386018075","DS"
"FLEA 113386018361","DS"
"FLEA 113388627388","DS"
"FLEA 113391586430","DS"
"FLEA 113442125898","DS"
"FLEA 113448548907","DS"
"FLEA 113448845355","DS"
"FLEA 113448845456","DS"
"FLEA 113484853090","DS"
"FLEA 113494906657","DS"
"FLEA 113498474436","DS"
"FLEA 113521397392","DS"
"FLEA 113521847747","DS"
"FLEA 113532570010","DS"
"FLEA 113539759173","DS"
"FLEA 113556983237","DS"
"FLEA 113563772575","DS"
"FLEA 113563772875","DS"
"FLEA 113563773342","DS"
"FLEA 113564426848","DS"
"FLEA 113564426886","DS"
"FLEA 113564426957","DS"
"FLEA 113564427035","DS"
"FLEA 113587830610","DS"
"FLEA 113590997353","DS"
"FLEA 113594530612","DS"
"FLEA 113598934517","DS"
"FLEA 113615448694","DS"
"FLEA 113620306216","DS"
"FLEA 113622927316","DS"
"FLEA 113632533141","DS"
"FLEA 113635155663","DS"
"FLEA 113635171186","DS"
"FLEA 113643155114","DS"
"FLEA 113643156015","DS"
"FLEA 113667020828","DS"
"FLEA 113668276669","DS"
"FLEA 113669427291","DS"
"FLEA 113669427413","DS"
"FLEA 113673390966","DS"
"FLEA 113673471593","DS"
"FLEA 113681747194","DS"
"FLEA 113683242363","DS"
"FLEA 113686880289","DS"
"FLEA 113686880315","DS"
"FLEA 113690431783","DS"
"FLEA 113690577364","DS"
"FLEA 113690633179","DS"
"FLEA 113701307782","DS"
"FLEA 113701419193","DS"
"FLEA 113701419276","DS"
"FLEA 113705797463","DS"
"FLEA 113705797524","DS"
"FLEA 113708071492","DS"
"FLEA 113708857917","DS"
"FLEA 113710590805","DS"
"FLEA 113712130663","DS"
"FLEA 113713222464","DS"
"FLEA 113719303926","DS"
"FLEA 113721304331","DS"
"FLEA 113741566305","DS"
"FLEA 113743806123","DS"
"FLEA 113749198256","DS"
"FLEA 113750155297","DS"
"FLEA 113750684019","DS"
"FLEA 113750684085","DS"
"FLEA 113750717956","DS"
"FLEA 113750718019","DS"
"FLEA 113750718038","DS"
"FLEA 113750718200","DS"
"FLEA 113750718207","DS"
"FLEA 113751821614","DS"
"FLEA 113751863683","DS"
"FLEA 113751955405","DS"
"FLEA 113753030099","DS"
"FLEA 113753030602","DS"
"FLEA 113760190348","DS"
"FLEA 113766894531","DS"
"FLEA 113766894631","DS"
"FLEA 113766894645","DS"
"FLEA 113770398505","DS"
"FLEA 113770398542","DS"
"FLEA 113770398556","DS"
"FLEA 113770398563","DS"
"FLEA 113770398623","DS"
"FLEA 113773583361","DS"
"FLEA 113780624435","DS"
"FLEA 113780624449","DS"
"FLEA 113787783018","DS"
"FLEA 113788355368","DS"
"FLEA 113791491120","DS"
"FLEA 113791491162","DS"
"FLEA 113796095798","DS"
"FLEA 113797175077","DS"
"FLEA 113797175177","DS"
"FLEA 113799478738","DS"
"FLEA 113805592808","DS"
"FLEA 113808100333","DS"
"FLEA 113813128977","DS"
"FLEA 113813129666","DS"
"FLEA 113813129823","DS"
"FLEA 113813427152","DS"
"FLEA 113815382863","DS"
"FLEA 113815383050","DS"
"FLEA 113815383744","DS"
"FLEA 113815384093","DS"
"FLEA 113816208274","DS"
"FLEA 113819016790","DS"
"FLEA 113819016851","DS"
"FLEA 113819017020","DS"
"FLEA 113822680639","DS"
"FLEA 113822681592","DS"
"FLEA 113827454244","DS"
"FLEA 113831165874","DS"
"FLEA 113836670585","DS"
"FLEA 113839308829","DS"
"FLEA 113839308921","DS"
"FLEA 113839309042","DS"
"FLEA 113840758544","DS"
"FLEA 113847448067","DS"
"FLEA 113848486388","DS"
"FLEA 113848544101","DS"
"FLEA 113859999729","DS"
"FLEA 113860213339","DS"
"FLEA 113860213369","DS"
"FLEA 113860272566","DS"
"FLEA 113860272579","DS"
"FLEA 113861217752","DS"
"FLEA 113861287725","DS"
"FLEA 113861287780","DS"
"FLEA 113861287782","DS"
"FLEA 113861287850","DS"
"FLEA 113861288005","DS"
"FLEA 113876391141","DS"
"FLEA 113876391167","DS"
"FLEA 113876391283","DS"
"FLEA 113876410089","DS"
"FLEA 113876410114","DS"
"FLEA 113878596129","DS"
"FLEA 113878596227","DS"
"FLEA 113882529182","DS"
"FLEA 113885525133","DS"
"FLEA 113885586271","DS"
"FLEA 113893499324","DS"
"FLEA 113895745354","DS"
"FLEA 113899639960","DS"
"FLEA 113903521318","DS"
"FLEA 113910315589","DS"
"FLEA 113912732532","DS"
"FLEA 113914224312","DS"
"FLEA 113916810644","DS"
"FLEA 113919563778","DS"
"FLEA 113925880078","DS"
"FLEA 113951424746","DS"
"FLEA 113989656419","DS"
"FLEA 113989656451","DS"
"FLEA 113989656494","DS"
"FLEA 113989656543","DS"
"FLEA 113989718312","DS"
"FLEA 113989718313","DS"
"FLEA 113989718379","DS"
"FLEA 113989718413","DS"
"FLEA 113989718426","DS"
"FLEA 113989724037","DS"
"FLEA 113989724067","DS"
"FLEA 113989724247","DS"
"FLEA 113989724252","DS"
"FLEA 113989724327","DS"
"FLEA 113989724420","DS"
"FLEA 113989724423","DS"
"FLEA 113989724515","DS"
"FLEA 113989724627","DS"
"FLEA 113989725326","DS"
"FLEA 113989731376","DS"
"FLEA 113989731404","DS"
"FLEA 113989731466","DS"
"FLEA 113989731492","DS"
"FLEA 113989731504","DS"
"FLEA 113989731506","DS"
"FLEA 113989731545","DS"
"FLEA 113989731564","DS"
"FLEA 113989731653","DS"
"FLEA 113989739431","DS"
"FLEA 113989739490","DS"
"FLEA 113989739534","DS"
"FLEA 113989739564","DS"
"FLEA 113989739605","DS"
"FLEA 113989749902","DS"
"FLEA 113989749921","DS"
"FLEA 113989749978","DS"
"FLEA 113989750133","DS"
"FLEA 113989764141","DS"
"FLEA 113989764251","DS"
"FLEA 113989764364","DS"
"FLEA 113989764793","DS"
"FLEA 113989764995","DS"
"FLEA 113989770768","DS"
"FLEA 113989770795","DS"
"FLEA 113989770819","DS"
"FLEA 113989831021","DS"
"FLEA 113989831037","DS"
"FLEA 113989831061","DS"
"FLEA 113990073324","DS"
"FLEA 113992942330","DS"
"FLEA 113992942387","DS"
"FLEA 113994478022","DS"
"FLEA 113998386225","DS"
"FLEA 113998394027","DS"
"FLEA 113998427258","DS"
"FLEA 113998549153","DS"
"FLEA 113998724715","DS"
"FLEA 113998993292","DS"
"FLEA 114001492970","DS"
"FLEA 114001821787","DS"
"FLEA 114002000314","DS"
"FLEA 114004607384","DS"
"FLEA 114007796872","DS"
"FLEA 114008676579","DS"
"FLEA 114009956861","DS"
"FLEA 114009956883","DS"
"FLEA 114011367628","DS"
"FLEA 114011367655","DS"
"FLEA 114019121503","DS"
"FLEA 114019121554","DS"
"FLEA 114041739942","DS"
"FLEA 114048445744","DS"
"FLEA 114057066001","DS"
"FLEA 114058080273","DS"
"FLEA 114058080291","DS"
"FLEA 114078112986","DS"
"FLEA 114083534255","DS"
"FLEA 114083534377","DS"
"FLEA 114087956893","DS"
"FLEA 114092466855","DS"
"FLEA 114093973515","DS"
"FLEA 114101152880","DS"
"FLEA 114102073032","DS"
"FLEA 114113930007","DS"
"FLEA 114133946088","DS"
"FLEA 114145006443","DS"
"FLEA 114145006545","DS"
"FLEA 114147756237","DS"
"FLEA 114147756275","DS"
"FLEA 114153003477","DS"
"FLEA 114154476026","DS"
"FLEA 114160435948","DS"
"FLEA 114163749143","DS"
"FLEA 114164018701","DS"
"FLEA 114164018751","DS"
"FLEA 114166911440","DS"
"FLEA 114166911454","DS"
"FLEA 114166911455","DS"
"FLEA 114168890501","DS"
"FLEA 114168956918","DS"
"FLEA 114202398681","DS"
"FLEA 114202398767","DS"
"FLEA 114203680943","DS"
"FLEA 114203681096","DS"
"FLEA 114203681097","DS"
"FLEA 114203681121","DS"
"FLEA 114203681128","DS"
"FLEA 114203681158","DS"
"FLEA 114203681161","DS"
"FLEA 114203682645","DS"
"FLEA 114203682762","DS"
"FLEA 114203748002","DS"
"FLEA 114203748738","DS"
"FLEA 114203781821","DS"
"FLEA 114204999310","DS"
"FLEA 114204999327","DS"
"FLEA 114206428080","DS"
"FLEA 114206813240","DS"
"FLEA 114206840474","DS"
"FLEA 114206840612","DS"
"FLEA 114207923001","DS"
"FLEA 114213091184","DS"
"FLEA 114224520068","DS"
"FLEA 114227592411","DS"
"FLEA 114247826830","DS"
"FLEA 114249430804","DS"
"FLEA 114249431487","DS"
"FLEA 114249448544","DS"
"FLEA 114249467419","DS"
"FLEA 114249467435","DS"
"FLEA 114249467461","DS"
"FLEA 114249467542","DS"
"FLEA 114249467565","DS"
"FLEA 114249467629","DS"
"FLEA 114249467631","DS"
"FLEA 114249469906","DS"
"FLEA 114249476978","DS"
"FLEA 114249477342","DS"
"FLEA 114249479435","DS"
"FLEA 114249481243","DS"
"FLEA 114249481357","DS"
"FLEA 114249481425","DS"
"FLEA 114249585788","DS"
"FLEA 114252558272","DS"
"FLEA 114254807170","DS"
"FLEA 114259682682","DS"
"FLEA 114264690662","DS"
"FLEA 114271774293","DS"
"FLEA 114276812595","DS"
"FLEA 114283398627","DS"
"FLEA 114295375764","DS"
"FLEA 114302055464","DS"
"FLEA 114303804564","DS"
"FLEA 114307078493","DS"
"FLEA 114313844669","DS"
"FLEA 114315473076","DS"
"FLEA 114315473417","DS"
"FLEA 114329804202","DS"
"FLEA 114329806253","DS"
"FLEA 114329814904","DS"
"FLEA 114337187737","DS"
"FLEA 114338547015","DS"
"FLEA 114349145719","DS"
"FLEA 114351232960","DS"
"FLEA 114354656106","DS"
"FLEA 114373505854","DS"
"FLEA 114376289381","DS"
"FLEA 114378999479","DS"
"FLEA 114379004598","DS"
"FLEA 114380031752","DS"
"FLEA 114380031778","DS"
"FLEA 114380067086","DS"
"FLEA 114388509027","DS"
"FLEA 114398124531","DS"
"FLEA 114398124603","DS"
"FLEA 121962514997","DS"
"FLEA 121990592977","DS"
"FLEA 121990593221","DS"
"FLEA 121990593291","DS"
"FLEA 121991524680","DS"
"FLEA 121992526918","DS"
"FLEA 121995961813","DS"
"FLEA 122009468060","DS"
"FLEA 122010671635","DS"
"FLEA 122030419582","DS"
"FLEA 122046187762","DS"
"FLEA 122095858923","DS"
"FLEA 122100240843","DS"
"FLEA 122112196600","DS"
"FLEA 122154392763","DS"
"FLEA 122189695180","DS"
"FLEA 122199890481","DS"
"FLEA 122275472628","DS"
"FLEA 122289395753","DS"
"FLEA 122328475560","DS"
"FLEA 122346227423","DS"
"FLEA 122370037315","DS"
"FLEA 122373646865","DS"
"FLEA 122373646873","DS"
"FLEA 122378799264","DS"
"FLEA 122378799360","DS"
"FLEA 122387954882","DS"
"FLEA 122389067113","DS"
"FLEA 122389067176","DS"
"FLEA 122389067775","DS"
"FLEA 122400492741","DS"
"FLEA 122411718563","DS"
"FLEA 122413705707","DS"
"FLEA 122413864315","DS"
"FLEA 122417461644","DS"
"FLEA 122417693151","DS"
"FLEA 122417693295","DS"
"FLEA 122417693345","DS"
"FLEA 122423740613","DS"
"FLEA 122430859820","DS"
"FLEA 122431121398","DS"
"FLEA 122431121794","DS"
"FLEA 122434000033","DS"
"FLEA 122466899091","DS"
"FLEA 122468547865","DS"
"FLEA 122477252048","DS"
"FLEA 122479204566","DS"
"FLEA 122479374736","DS"
"FLEA 122480687106","DS"
"FLEA 122501044979","DS"
"FLEA 122501086011","DS"
"FLEA 122504518943","DS"
"FLEA 122515059369","DS"
"FLEA 122523455226","DS"
"FLEA 122524881222","DS"
"FLEA 122529007737","DS"
"FLEA 122529183781","DS"
"FLEA 122529183823","DS"
"FLEA 122529183871","DS"
"FLEA 122538668512","DS"
"FLEA 122558847605","DS"
"FLEA 122558847686","DS"
"FLEA 122560974279","DS"
"FLEA 122561056826","DS"
"FLEA 122562114596","DS"
"FLEA 122562323387","DS"
"FLEA 122566489438","DS"
"FLEA 122566489942","DS"
"FLEA 122566491374","DS"
"FLEA 122571444461","DS"
"FLEA 122571444731","DS"
"FLEA 122573753592","DS"
"FLEA 122583240428","DS"
"FLEA 122586133950","DS"
"FLEA 122586134030","DS"
"FLEA 122586134074","DS"
"FLEA 122586134077","DS"
"FLEA 122586134104","DS"
"FLEA 122586300502","DS"
"FLEA 122591486537","DS"
"FLEA 122592937803","DS"
"FLEA 122593232314","DS"
"FLEA 122593232364","DS"
"FLEA 122594027986","DS"
"FLEA 122594028028","DS"
"FLEA 122594028170","DS"
"FLEA 122594028220","DS"
"FLEA 122604330585","DS"
"FLEA 122606496896","DS"
"FLEA 122619705655","DS"
"FLEA 122626594061","DS"
"FLEA 122627189925","DS"
"FLEA 122628923230","DS"
"FLEA 122634960274","DS"
"FLEA 122634992340","DS"
"FLEA 122635052820","DS"
"FLEA 122643140569","DS"
"FLEA 122643594376","DS"
"FLEA 122660370916","DS"
"FLEA 122660709017","DS"
"FLEA 122664527831","DS"
"FLEA 122665476904","DS"
"FLEA 122667322005","DS"
"FLEA 122676393469","DS"
"FLEA 122680720873","DS"
"FLEA 122685936563","DS"
"FLEA 122691170647","DS"
"FLEA 122716043995","DS"
"FLEA 122716416297","DS"
"FLEA 122716503920","DS"
"FLEA 122716584033","DS"
"FLEA 122716584220","DS"
"FLEA 122716584469","DS"
"FLEA 122720393183","DS"
"FLEA 122723023614","DS"
"FLEA 122724360025","DS"
"FLEA 122727098026","DS"
"FLEA 122727098121","DS"
"FLEA 122727194400","DS"
"FLEA 122728860553","DS"
"FLEA 122730327542","DS"
"FLEA 122730603647","DS"
"FLEA 122731714143","DS"
"FLEA 122735814931","DS"
"FLEA 122737401734","DS"
"FLEA 122745919676","DS"
"FLEA 122749462822","DS"
"FLEA 122749475630","DS"
"FLEA 122753252621","DS"
"FLEA 122761236945","DS"
"FLEA 122770229950","DS"
"FLEA 122773255670","DS"
"FLEA 122776109690","DS"
"FLEA 122776206177","DS"
"FLEA 122786681414","DS"
"FLEA 122788772541","DS"
"FLEA 122798523113","DS"
"FLEA 122799962055","DS"
"FLEA 122799997536","DS"
"FLEA 122799997653","DS"
"FLEA 122801998968","DS"
"FLEA 122807261090","DS"
"FLEA 122808637826","DS"
"FLEA 122809065922","DS"
"FLEA 122811952737","DS"
"FLEA 122812157180","DS"
"FLEA 122812157613","DS"
"FLEA 122820613391","DS"
"FLEA 122820624387","DS"
"FLEA 122833678230","DS"
"FLEA 122838321963","DS"
"FLEA 122838741493","DS"
"FLEA 122855230717","DS"
"FLEA 122855503127","DS"
"FLEA 122891107597","DS"
"FLEA 122891107702","DS"
"FLEA 122909084174","DS"
"FLEA 122915650681","DS"
"FLEA 122915651102","DS"
"FLEA 122920666925","DS"
"FLEA 122928941604","DS"
"FLEA 122931430176","DS"
"FLEA 122939493575","DS"
"FLEA 122939909766","DS"
"FLEA 122955550750","DS"
"FLEA 122957952180","DS"
"FLEA 122963828413","DS"
"FLEA 122971392570","DS"
"FLEA 122971392603","DS"
"FLEA 122978359787","DS"
"FLEA 123015456757","DS"
"FLEA 123015456820","DS"
"FLEA 123030904086","DS"
"FLEA 123031271598","DS"
"FLEA 123032118944","DS"
"FLEA 123045993336","DS"
"FLEA 123046374976","DS"
"FLEA 123058359384","DS"
"FLEA 123060281894","DS"
"FLEA 123072846910","DS"
"FLEA 123097602715","DS"
"FLEA 123099718779","DS"
"FLEA 123109308683","DS"
"FLEA 123109481678","DS"
"FLEA 123122284022","DS"
"FLEA 123125066619","DS"
"FLEA 123135271885","DS"
"FLEA 123145974889","DS"
"FLEA 123157400781","DS"
"FLEA 123159184328","DS"
"FLEA 123159899390","DS"
"FLEA 123161836771","DS"
"FLEA 123173620642","DS"
"FLEA 123177936333","DS"
"FLEA 123178388998","DS"
"FLEA 123183476853","DS"
"FLEA 123191848368","DS"
"FLEA 123198398920","DS"
"FLEA 123199869944","DS"
"FLEA 123206561154","DS"
"FLEA 123208175980","DS"
"FLEA 123210426250","DS"
"FLEA 123211412778","DS"
"FLEA 123213527198","DS"
"FLEA 123216598555","DS"
"FLEA 123220137612","DS"
"FLEA 123229882148","DS"
"FLEA 123229904906","DS"
"FLEA 123231523647","DS"
"FLEA 123231772104","DS"
"FLEA 123244506560","DS"
"FLEA 123246320157","DS"
"FLEA 123255893780","DS"
"FLEA 123256197871","DS"
"FLEA 123259261315","DS"
"FLEA 123266833251","DS"
"FLEA 123281030630","DS"
"FLEA 123284888197","DS"
"FLEA 123288530952","DS"
"FLEA 123294570440","DS"
"FLEA 123295295164","DS"
"FLEA 123297050313","DS"
"FLEA 123322272911","DS"
"FLEA 123325921937","DS"
"FLEA 123348755937","DS"
"FLEA 123354240310","DS"
"FLEA 123366233997","DS"
"FLEA 123368115666","DS"
"FLEA 123377415561","DS"
"FLEA 123382573586","DS"
"FLEA 123387270145","DS"
"FLEA 123390180898","DS"
"FLEA 123390180926","DS"
"FLEA 123392295857","DS"
"FLEA 123394780031","DS"
"FLEA 123402961196","DS"
"FLEA 123402961229","DS"
"FLEA 123403206726","DS"
"FLEA 123406254781","DS"
"FLEA 123412941321","DS"
"FLEA 123412941458","DS"
"FLEA 123415350831","DS"
"FLEA 123419321714","DS"
"FLEA 123425131205","DS"
"FLEA 123427601482","DS"
"FLEA 123432684275","DS"
"FLEA 123447179000","DS"
"FLEA 123449739182","DS"
"FLEA 123461438402","DS"
"FLEA 123461467101","DS"
"FLEA 123470821397","DS"
"FLEA 123472651180","DS"
"FLEA 123473352468","DS"
"FLEA 123473352603","DS"
"FLEA 123487516896","DS"
"FLEA 123491093868","DS"
"FLEA 123491094008","DS"
"FLEA 123491094066","DS"
"FLEA 123491094068","DS"
"FLEA 123491094076","DS"
"FLEA 123491094352","DS"
"FLEA 123491094709","DS"
"FLEA 123491094813","DS"
"FLEA 123491115626","DS"
"FLEA 123491115747","DS"
"FLEA 123491146133","DS"
"FLEA 123502262391","DS"
"FLEA 123502262787","DS"
"FLEA 123503891502","DS"
"FLEA 123537010868","DS"
"FLEA 123537011078","DS"
"FLEA 123540604205","DS"
"FLEA 123542766875","DS"
"FLEA 123542766954","DS"
"FLEA 123546400790","DS"
"FLEA 123549836626","DS"
"FLEA 123549837205","DS"
"FLEA 123549837206","DS"
"FLEA 123553186067","DS"
"FLEA 123556514717","DS"
"FLEA 123567995687","DS"
"FLEA 123567995877","DS"
"FLEA 123567995916","DS"
"FLEA 123578355763","DS"
"FLEA 123578563953","DS"
"FLEA 123578564127","DS"
"FLEA 123587497359","DS"
"FLEA 123589872571","DS"
"FLEA 123589875438","DS"
"FLEA 123590314150","DS"
"FLEA 123590314787","DS"
"FLEA 123595614470","DS"
"FLEA 123597477733","DS"
"FLEA 123597477899","DS"
"FLEA 123597477902","DS"
"FLEA 123597478091","DS"
"FLEA 123605438059","DS"
"FLEA 123608760778","DS"
"FLEA 123610146610","DS"
"FLEA 123610146620","DS"
"FLEA 123610146792","DS"
"FLEA 123610464326","DS"
"FLEA 123610464415","DS"
"FLEA 123611739774","DS"
"FLEA 123612151804","DS"
"FLEA 123618688049","DS"
"FLEA 123618688125","DS"
"FLEA 123630977243","DS"
"FLEA 123630977371","DS"
"FLEA 123631042749","DS"
"FLEA 123631043040","DS"
"FLEA 123631046423","DS"
"FLEA 123632675812","DS"
"FLEA 123634256622","DS"
"FLEA 123634256800","DS"
"FLEA 123645944898","DS"
"FLEA 123647270752","DS"
"FLEA 123663781941","DS"
"FLEA 123669020308","DS"
"FLEA 123669020359","DS"
"FLEA 123674622056","DS"
"FLEA 123674622057","DS"
"FLEA 123674622059","DS"
"FLEA 123674622158","DS"
"FLEA 123674622220","DS"
"FLEA 123674622253","DS"
"FLEA 123677967613","DS"
"FLEA 123686883502","DS"
"FLEA 123687569299","DS"
"FLEA 123688937776","DS"
"FLEA 123688938530","DS"
"FLEA 123690259960","DS"
"FLEA 123691342201","DS"
"FLEA 123691342249","DS"
"FLEA 123714055277","DS"
"FLEA 123714055758","DS"
"FLEA 123719585276","DS"
"FLEA 123728072854","DS"
"FLEA 123734403065","DS"
"FLEA 123739784936","DS"
"FLEA 123752454718","DS"
"FLEA 123767901176","DS"
"FLEA 123767902089","DS"
"FLEA 123767902216","DS"
"FLEA 123767902223","DS"
"FLEA 123768628657","DS"
"FLEA 123769072242","DS"
"FLEA 123769096163","DS"
"FLEA 123769096208","DS"
"FLEA 123769096274","DS"
"FLEA 123769096326","DS"
"FLEA 123769410130","DS"
"FLEA 123770017160","DS"
"FLEA 123770033084","DS"
"FLEA 123770033213","DS"
